Department,School,SchType,SchLocation,Grade,NIVEAU2,NIVEAU3,NIVEAU4,NIVEAU5,NIVEAU6,Gender,PassRate,ExcellenceRate,Date,r1h,rfh,r3h,FluctMonth,FluctIntra,FluctTenDays,RainHistVol,HeavyRain,LowRain,ExtreFluctMonth,ExtreFluctIntra,Region,RegionCode,SchYear,IMR,District
GAGNOA,EPP MABOUO 2,0,0,CP1,0,0,0,0,0,1,0.903846153846154,0.4038461538461538,2024-11-21,36.175217,12.743589,420.71368,6.814057618507166,0.0293561473314727,0.1093224993367252,-1.033731477124359,0.0,1.0,1.0,0.0,Goh,CI13,2024-2025,0.4319031484471892,District du Gôh-Djiboua
DIVO,EPP SIOKRO,0,0,CP2,1,0,0,0,0,1,0.6428571428571429,0.3333333333333333,2024-11-21,84.37723,18.871885,486.46976,2.686461145975046,0.1921130203018041,1.0629833214859037,-0.3619418802797497,0.0,1.0,1.0,0.0,Loh-Djiboua,CI22,2024-2025,1.073678681421224,District du Gôh-Djiboua
ODIENNE,EPP NIAMANA 2,0,0,CP2,1,0,0,0,0,1,0.6842105263157895,0.3421052631578947,2024-11-21,8.023355,2.1231422,515.8344,23.460439554276235,0.228764226436447,0.8360000568968011,-1.0746526967224668,0.0,1.0,1.0,0.0,Kabadougou,CI21,2024-2025,0.1426323838862344,District du Denguélé
ODIENNE,EPP NIAMANA 2,0,0,CP1,0,0,0,0,0,1,0.7,0.55,2024-11-21,8.023355,2.1231422,515.8344,23.460439554276235,0.228764226436447,0.8360000568968011,-1.0746526967224668,0.0,1.0,1.0,0.0,Kabadougou,CI21,2024-2025,0.1426323838862344,District du Denguélé
DIVO,EPP SIAKADJANKRO,0,0,CP2,1,0,0,0,0,1,0.6071428571428571,0.1428571428571428,2024-11-21,84.37723,18.871885,486.46976,2.686461145975046,0.1921130203018041,1.0629833214859037,-0.3619418802797497,0.0,1.0,1.0,0.0,Loh-Djiboua,CI22,2024-2025,1.073678681421224,District du Gôh-Djiboua
BOUAKE 2,EPP SOUAFOUE,0,0,CP1,0,0,0,0,0,1,0.6363636363636364,0.1818181818181818,2024-11-21,5.9264708,1.9816177,405.10294,48.722079116630425,0.005272961101909,0.0074211589854087,-1.77725213979824,0.0,1.0,1.0,0.0,Gbeke,CI11,2024-2025,0.5406847589333901,District de la Vallée du Bandama
DIVO,EPP DISPENSAIRE 3,0,1,CP2,1,0,0,0,0,0,0.5,0.0,2024-11-21,84.37723,18.871885,486.46976,2.686461145975046,0.1921130203018041,1.0629833214859037,-0.3619418802797497,0.0,1.0,1.0,0.0,Loh-Djiboua,CI22,2024-2025,0.758672996707237,District du Gôh-Djiboua
BOUAKE 2,EPP SOUAFOUE,0,0,CP2,1,0,0,0,0,1,0.1333333333333333,0.0,2024-11-21,5.9264708,1.9816177,405.10294,48.722079116630425,0.005272961101909,0.0074211589854087,-1.77725213979824,0.0,1.0,1.0,0.0,Gbeke,CI11,2024-2025,0.5406847589333901,District de la Vallée du Bandama
BOUNA,EPP BROMAKOTE-EXTENSION,0,1,CP2,1,0,0,0,0,1,1.0,0.4833333333333333,2024-11-21,4.277854,1.6244842,350.5447,43.040516576769576,0.0387459927337398,0.1625740650478471,-1.5916229980197247,0.0,1.0,1.0,0.0,Bounkani,CI08,2024-2025,1.709875626085056,District du Zanzan
DIVO,EPP SEMININ-YAOKRO,0,0,CP2,1,0,0,0,0,1,0.9736842105263158,0.4210526315789473,2024-11-21,84.37723,18.871885,486.46976,2.686461145975046,0.1921130203018041,1.0629833214859037,-0.3619418802797497,0.0,1.0,1.0,0.0,Loh-Djiboua,CI22,2024-2025,1.073678681421224,District du Gôh-Djiboua
BOUNA,EPP FAPIREDOUO,0,0,CP1,0,0,0,0,0,1,0.5,0.0,2024-11-21,4.277854,1.6244842,350.5447,43.040516576769576,0.0387459927337398,0.1625740650478471,-1.5916229980197247,0.0,1.0,1.0,0.0,Bounkani,CI08,2024-2025,1.825095005270055,District du Zanzan
BOUNA,EPP FAPIREDOUO,0,0,CP2,1,0,0,0,0,1,0.5178571428571429,0.0357142857142857,2024-11-21,4.277854,1.6244842,350.5447,43.040516576769576,0.0387459927337398,0.1625740650478471,-1.5916229980197247,0.0,1.0,1.0,0.0,Bounkani,CI08,2024-2025,1.825095005270055,District du Zanzan
BOUNA,EPP BROMAKOTE-EXTENSION,0,1,CP1,0,0,0,0,0,1,1.0,0.3125,2024-11-21,4.277854,1.6244842,350.5447,43.040516576769576,0.0387459927337398,0.1625740650478471,-1.5916229980197247,0.0,1.0,1.0,0.0,Bounkani,CI08,2024-2025,1.709875626085056,District du Zanzan
BOUNDIALI,EPP SIEMPURGO 2,0,1,CP1,0,0,0,0,0,1,0.5555555555555556,0.0,2024-11-21,5.8176475,1.8352941,437.54117,33.63902548237927,0.0983316710061928,0.2644231788245819,-1.0746904422181014,0.0,1.0,1.0,0.0,Bagoue,CI05,2024-2025,0.2086511865997583,District des Savanes
BOUAKE 2,EPP KOUEKRO-DJEHOU,0,0,CP2,1,0,0,0,0,1,0.24,0.02,2024-11-21,5.9264708,1.9816177,405.10294,48.722079116630425,0.005272961101909,0.0074211589854087,-1.77725213979824,0.0,1.0,1.0,0.0,Gbeke,CI11,2024-2025,0.5406847589333901,District de la Vallée du Bandama
ODIENNE,EPP SANGBANI 1,0,1,CP2,1,0,0,0,0,1,1.0,0.25,2024-11-21,8.023355,2.1231422,515.8344,23.460439554276235,0.228764226436447,0.8360000568968011,-1.0746526967224668,0.0,1.0,1.0,0.0,Kabadougou,CI21,2024-2025,0.0427445060405718,District du Denguélé
