filename,relevant_description
010088055.txt,"['In the northern part of Cote d’Ivoire (Soudanese climate), a break was found in 1982. Here, the first period between 1961 and 1982 was associated with more rainfall (wet period), while the second period from 1983 to 2015 was associated with less rainfall (dry period).', 'The maps of rainfall intensity (SDII) showed a completely different pattern, with higher values over the south (14-18 mm/day in 1961-1980) and weaker values in the center and the north (10-14 mm/day).', 'In the western part of Cote d’Ivoire (Mountain climate), a break was found in 2000 separating two distinct periods: a wet period between 1961 and 2000 and a dry period after 2001.', ""This increase in droughts was accompanied by a temperature increase of 0.5 °C in Côte d'Ivoire between 1981 and 2010 with maxima recorded in the south of the central-eastern region of the country."", 'Considering annual precipitation, the 1961-1980 period was wetter in the south along the coast and on the western side of the country, with cumulative rainfall ranging in the south from 1600 to 1700 mm/ year, with maxima in the extreme southwest and southeast, to 1300-1400 mm along the western side. The rest of the country, particularly the center and the north, had lower rainfall values ranging from 1000 to 1300 mm, with persistent minima in the center.', 'In the southern parts of Cote d’Ivoire (Attean climate), a break was found in 1983, separating the wet period (1961-1983) and dry period (1984-2015).', 'In the central part of the country (Baulean climate), while the time series presented high interannual variability with the wet period succeeding the dry period, a break was detected in 1991.', 'The maps of the number of rainy days (RR1) showed the same pattern as PRCPTOT, with maxima ranging from 94 to 107 days in 1961-1980 over the western side and southern region of the country, respectively, while the other part had a weaker number of rainy days (80-90 days).']"
1-s2.0-S0022169496030685-main.txt,[]
acs_2024011213581194.txt,"['This region is dominated by a long dry season and a short rainy (wet) season, as well as the presence of a cool and dry wind originating from the Sahelian regions known as the “harmattan” blowing during December-February.', 'The mountainous climate in the western part of the country is characterized by abundant annual rainfall, compared to the northern region with two seasons: a rainy and a dry season. Mean annual temperatures vary around 24°C, and relative humidity remains very high throughout the year, reaching about 98% in Man.', 'The third zone represents the transitional tropical climate (zone 3), including grids located at higher latitudes. This climate zone dominates the northern part of Côte d’Ivoire influenced by Harmattan with the lowest cumulative rainfall during a year. Indeed, the air masses coming from the Atlantic Ocean towards the Sudanian zone of Côte d’Ivoire (zone 3) warm up, as they cross the Sahelian zone, leading to a reduction in condensation and relative humidity resulting in an increase in temperature in this climate zone.', 'The first region corresponds to the sub-equatorial climate (zonel) including grids at low latitudes along the coast. The abundant rainfall in this region can be explained by a combination of factors linked to its proximity to the Atlantic Ocean, such as the strong influence of the West African monsoon.', 'The tropical climate predominates in the northern part of the country. With mean annual temperatures varying around 26°C, with a relatively higher daily temperature ranges around 32°C and low humidity (63% in Korhogo) compared to the southern region. This region is dominated by a long dry season and a short rainy (wet) season, as well as the presence of a cool and dry wind originating from the Sahelian regions known as the “harmattan” blowing during December-February. Mean annual rainfall is generally less than 1300 mm/year.', 'The equatorial climate, located in the southern part of the country, is characterized by a high humidity (82% in Abidjan), a mean temperatures (about 26°C) and abundant rainfall (about 1922 mm/year in Abidjan).']"
clim-1520-0442_2003_016_3389_twamdp_2.0.co_2.txt,[]
clim-1520-0442_2003_016_3407_twamdp_2.0.co_2.txt,"['The onset stage of the summer monsoon over West Africa is linked to an abrupt latitudinal shift of the ITCZ from a quasi-stationary location at 5°N in May—June to another quasi-stationary location at 10°N in July—August.', 'During the first half of July (Fig. 1c), the ITCZ has already shifted to the north, reaching a second quasi-stable state around 10°N, while rainfall maxima are still present at 5°N along the Guinean coast. This transition stage is then marked by rainfall minima between 6° and 8°N, in particular over the Ivory Coast along 5°W characterizing a climatological feature of the rainfall field on this area called the “V Baoule.”', 'The preonset stage corresponds to the arrival in the intertropical front (ITF) at 15°N, that is, the confluence line between moist southwesterly monsoon winds and dry northeasterly Harmattan, bringing sufficient moisture for isolated convective systems to develop in the Sudano—Sahelian zone while the intertropical convergence zone (ITCZ) is centered at 5°N.', 'During the second half of May and in June (Fig. 1b), the ITCZ remains at a quasi-stable location around 5°N.', 'Finally, during the second half of July and into August (Fig. 1d), the ITCZ remains along 10°N with enhanced precipitation and the isoline of 4 mm day”! reaching 15°N. A rainfall minimum is now evident along the Guinean coast region, associated to the so-called little dry season.']"
clim-1520-0442_2004_017_3364_seavaw_2.0.co_2.txt,[]
clim-2007jcli1533.1.txt,[]
clim-2007jcli1706.1.txt,[]
clim-2007jcli1999.1.txt,[]
clim-2008jcli2314.1.txt,[]
